nome,instagram,já_foi_abordado
sorrirfazbemsertaozinho,https://www.instagram.com/sorrirfazbemsertaozinho/,Sim
chrisdalmaso,https://www.instagram.com/chrisdalmaso/,Sim
redeortosertaozinho,https://www.instagram.com/redeortosertaozinho/,Sim
dra.gabrielacrippa,https://www.instagram.com/dra.gabrielacrippa/,Sim
vivareodontosertaozinho,https://www.instagram.com/vivareodontosertaozinho/,Sim
dra.grazielaferreira,https://www.instagram.com/dra.grazielaferreira/,Sim
clinica_odontojunior,https://www.instagram.com/clinica_odontojunior/,Sim
eveny.batista,https://www.instagram.com/eveny.batista/,Sim
orthodontic.valparaisodegoias,https://www.instagram.com/orthodontic.valparaisodegoias/,Sim
odontomedvalparaiso,https://www.instagram.com/odontomedvalparaiso/,Sim
dr.diquilesio,https://www.instagram.com/dr.diquilesio/,Sim
valparaisogoexperienceodonto,https://www.instagram.com/valparaisogoexperienceodonto/,Sim
cclin.odontologia,https://www.instagram.com/cclin.odontologia/,Sim
dra.joyce.santos,https://www.instagram.com/dra.joyce.santos/,Sim
dra.anaclaraqm,https://www.instagram.com/dra.anaclaraqm/,Sim
tathiana.lutterbachodonto,https://www.instagram.com/tathiana.lutterbachodonto/,Sim
dra.jessicafolignop,https://www.instagram.com/dra.jessicafolignop/,Sim
ingridyestanislau,https://www.instagram.com/ingridyestanislau/,Sim
clinica_sante_dentaire,https://www.instagram.com/clinica_sante_dentaire/,Sim
rafael.srodiguesss,https://www.instagram.com/rafael.srodiguesss/,Sim
carlaabreusoares,https://www.instagram.com/carlaabreusoares/,Sim
dra.daniellepedra,https://www.instagram.com/dra.daniellepedra/,Sim
dra.thainatavares,https://www.instagram.com/dra.thainatavares/,Sim
smiledentistasembu,https://www.instagram.com/smiledentistasembu/,Sim
dramariaapgal,https://www.instagram.com/dramariaapgal/,Sim
odontocompanyembudasartes,https://www.instagram.com/odontocompanyembudasartes/,Sim
dramichelle_almeida,https://www.instagram.com/dramichelle_almeida/,Sim
natylopes__,https://www.instagram.com/natylopes__/,Sim
ateliedaprotesethe,https://www.instagram.com/ateliedaprotesethe/,Sim
mvoralclinica,https://www.instagram.com/mvoralclinica/,Sim
genesismed.seg,https://www.instagram.com/genesismed.seg/,Sim
extensaohospitalar,https://www.instagram.com/extensaohospitalar/,Sim
orthodontic.teresina,https://www.instagram.com/orthodontic.teresina/,Sim
oralsin.teresina,https://www.instagram.com/oralsin.teresina/,Sim
dra_marinaleao,https://www.instagram.com/dra_marinaleao/,Sim
drsorrisoteresina,https://www.instagram.com/drsorrisoteresina/,Sim
clinicaintegrallis,https://www.instagram.com/clinicaintegrallis/,Sim
integral.odonto.teresina,https://www.instagram.com/integral.odonto.teresina/,Sim
