nome,telefone,telefone_formatado,já_foi_abordado
Odontoclínica,(69) 3421-1216 ,556934211216,Sim
Estação do Sorriso,(69) 3422-2523 ,556934222523,Sim
OdontoCompany,(61) 3677-1729 ,556136771729,Sim
Clínica Espaço Sorriso | Dentista,(61) 3637-2246 ,556136372246,Sim
Inove Odontologia,(61) 3637-0525 ,556136370525,Sim
Odontoplan,(61) 3637-4068 ,556136374068,Sim
Blanco Odontologia | Ortodontia e Implantes em Planaltina Goiás,(61) 99515-0561 ,5561995150561,Sim
clinica coplan odontologia,(61) 3637-6593 ,556136376593,Sim
Consultório Sorriso e Cia Oral,(61) 3637-2632 ,556136372632,Sim
ArtClin Odontologia Planaltina-GO | IMPLANTES | FACETAS | PRÓTESES | DENTISTA,(61) 99509-6882 ,5561995096882,Sim
Consultório Sorriso e Cia Oral,(61) 3637-2632 ,556136372632,Sim
BioDente Clínica Odontológica,(61) 3637-0642 ,556136370642,Sim
Máximos Odontologia,(61) 98568-1691 ,5561985681691,Sim
Clínica Odontológica Tradicional,(61) 3389-5726 ,556133895726,Sim
Vita Dent,(61) 99559-0551 ,5561995590551,Sim
LF Odonto,(61) 3389-6704 ,556133896704,Sim
SR Odontologia,(61) 99168-9569 ,5561991689569,Sim
Clínica Vitta Face,(61) 99416-8996 ,5561994168996,Sim
Múltipla Odontologia,(61) 99449-9290 ,5561994499290,Sim
Dra Ana Machado - Instituto de Odontologia e Estética,(61) 98268-5649 ,5561982685649,Sim
Dentista 24h emergência-Plantão/JARAGUÁ DO SUL,(47) 98407-3327 ,5547984073327,Sim
Odontologia Integrada Jaraguá,(47) 98855-5479 ,5547988555479,Sim
Dr. Ricardo Nomura - Dentista,(11) 98744-7034 ,5511987447034,Sim
Valmir Finetti - Cirurgia e Traumatologia Buco Maxilo Facial,(11) 4240-3051 ,551142403051,Sim
Dr. Heranildo Bravin,(11) 4799-5387 ,551147995387,Sim
Odonto Rio Araruama,(22) 2664-7781 ,552226647781,Sim
Clinica Novo Dente Araruama,(22) 98878-3469 ,5522988783469,Sim
OdontoCompany,(22) 2665-4615 ,552226654615,Sim
Clinica Odontológica Raposo,(22) 2665-2301 ,552226652301,Sim
Sarah Matos - Odontologia,(22) 99842-8899 ,5522998428899,Sim
Dra Daniella Martins - Dentista em Araruama - RJ,(22) 99829-2005 ,5522998292005,Sim
Dra. Karine Raiher,(22) 99783-2732 ,5522997832732,Sim
Renata Brasil Dentista,(22) 99218-4000 ,5522992184000,Sim
Odontologia E Estética,(22) 99790-7067 ,5522997907067,Sim
Prisma Odontologia,(22) 98828-3170 ,5522988283170,Sim
Trocou de endereço,(22) 99917-3416,5522999173416,Sim
dra Fernanda d´Eça - Não aceita plano,(22) 2665-8959 ,552226658959,Sim
Pellito Odontologia,(22) 98115-6432 ,5522981156432,Sim
Odontologia Rosendo Raiher,(22) 99783-2732 ,5522997832732,Sim
Dra Maria Alice Liborio Cabral,(22) 99878-7240 ,5522998787240,Sim
Consultório odontológico,(22) 99957-6347 ,5522999576347,Sim
Dr. Hariton S. Mesquita - Cirurgia Bucomaxilofacial e Estomatologia,(22) 99999-8678 ,5522999998678,Sim
Dra Ana Helena de O Santos,(22) 2665-4501 ,552226654501,Sim
NAIME EMERY ODONTOLOGIA,(22) 98877-2473 ,5522988772473,Sim
Dr. Enderson Pellito Filho - Cirurgião Buco- Maxilo- Facial,(22) 98115-6432 ,5522981156432,Sim
Consultório Dr Gerson Montedonio Chagatelles,(22) 2665-0115 ,552226650115,Sim
Instituto Verônica Magalhães,(22) 98803-7656 ,5522988037656,Sim
Consultório Odontológico Lagos,(22) 2667-3805 ,552226673805,Sim
Amitié odontologia e estética,(22) 99719-3588 ,5522997193588,Sim
Dra.Juliana Meireles,(22) 99988-1807 ,5522999881807,Sim
Dr.Julio Barros Dentista,(22) 98129-3490 ,5522981293490,Sim
Araki Odontologia Araruama,(22) 99802-5747 ,5522998025747,Sim
Martins Odontologia,(22) 98842-5444 ,5522988425444,Sim
Dr.humberto siqueira cardeal,(22) 98172-7536 ,5522981727536,Sim
Dentista Dr Marcelo Oliveira,(22) 98803-9602 ,5522988039602,Sim
Consultório dentário Tia Sany,(22) 2665-7903 ,552226657903,Sim
Dr Thayan Vieira,(22) 99101-3170 ,5522991013170,Sim
Clinica Odontológica,(22) 98838-0351 ,5522988380351,Sim
MA ODONTOLOGIA INTEGRADA,(22) 99206-5243 ,5522992065243,Sim
